2	7	8	10	14
12	26	30	32	33
5	6	8	11	14
8	9	12	21	23
7	21	22	27	35
13	23	27	31	37
12	18	20	24	31
2	8	19	21	29
9	11	15	18	20
5	12	13	19	34
4	12	28	35	38
10	22	31	35	36
3	21	22	26	39
9	13	23	29	34
4	7	8	24	26
7	12	18	35	39
3	12	19	32	34
1	14	18	19	22
6	19	23	26	30
4	7	17	22	35
5	9	12	14	31
1	7	32	36	37
7	8	9	17	20
1	6	16	26	31
13	22	23	24	35
4	11	25	31	32
9	11	14	18	27
1	5	9	14	26
1	10	23	32	37
9	16	29	32	39
4	16	21	23	37
1	8	16	19	31
6	7	8	14	39
3	7	22	29	34
16	21	26	29	37
8	24	28	37	38
4	5	27	35	37
12	22	26	28	35
10	18	19	27	28
2	6	19	28	29
2	7	11	20	30
11	17	29	34	39
6	8	10	21	26
9	15	29	30	39
10	12	13	19	33
3	27	28	33	38
3	7	17	24	27
11	13	18	30	35
4	7	11	19	22
8	17	18	24	36
5	11	26	33	35
3	11	24	27	36
11	12	20	28	29
5	27	31	38	39
4	16	29	31	34
8	9	12	22	27
11	18	21	23	36
15	23	29	36	39
8	12	15	18	34
9	10	19	33	35
17	23	24	27	35
2	4	7	25	37
2	21	24	27	31
6	14	27	30	33
3	4	7	11	30
6	8	18	19	28
8	15	25	26	34
7	11	13	26	30
3	13	15	19	25
11	15	25	29	34
2	16	17	27	32
5	9	15	20	26
5	13	16	24	28
7	25	32	34	35
4	20	24	27	38
1	10	12	32	35
5	25	33	36	37
13	24	25	36	39
4	9	12	17	27
7	10	13	23	26
5	13	17	19	31
4	8	29	32	34
5	16	23	31	39
3	6	7	36	38
12	13	14	15	24
1	6	19	26	33
6	17	18	19	32
4	6	14	24	35
14	19	22	26	28
15	17	26	27	35
9	11	15	25	31
9	10	22	30	33
2	3	16	27	39
7	22	25	29	38
3	6	23	24	37
7	24	28	31	36
14	19	21	26	36
2	6	12	14	24
8	19	23	27	31
1	16	19	27	33
4	6	25	29	35
1	5	24	33	36
20	23	32	35	38
6	12	17	38	39
1	7	13	18	35
22	26	30	31	38
